"_id","im1","im2","w1","w2","t","u"
78,93,32,2,0,2,false
76,37,36,0,2,2,false
79,38,29,2,0,2,false
55,81,5,1,1,2,false
80,43,35,1,1,2,false
62,73,19,1,1,2,false
84,48,25,1,1,2,false
82,76,2,0,2,2,false
85,18,4,1,1,2,false
86,70,38,1,1,2,false
87,5,0,1,1,2,false
88,59,55,1,1,2,false
89,57,12,0,2,2,false
91,92,19,0,2,2,false
83,49,42,0,2,2,false
92,53,30,2,0,2,false
93,55,32,1,1,2,false
95,88,72,1,1,2,false
94,87,70,1,1,2,false
96,87,24,2,0,2,false
98,94,60,0,2,2,false
97,88,23,2,0,2,false
99,41,27,2,0,2,false
100,83,38,1,1,2,false
101,7,4,1,1,2,false
90,38,15,0,2,2,false
102,56,36,1,1,2,false
103,95,89,2,0,2,false
104,71,45,2,0,2,false
105,75,12,0,2,2,false
106,75,5,0,2,2,false
107,75,20,1,1,2,false
108,91,55,2,0,2,false
109,11,8,1,1,2,false
110,97,6,1,1,2,false
111,24,19,0,2,2,false
112,43,15,1,1,2,false
114,68,10,2,0,2,false
113,89,51,2,0,2,false
115,78,73,1,1,2,false
116,51,45,2,0,2,false
117,22,21,2,0,2,false
118,35,12,0,2,2,false
119,97,21,1,1,2,false
122,99,20,0,2,2,false
123,59,37,1,1,2,false
124,63,6,2,0,2,false
125,72,71,0,2,2,false
120,41,9,1,1,2,false
126,54,35,2,0,2,false
127,71,53,2,0,2,false
121,90,0,1,1,2,false
130,88,85,1,1,2,false
131,98,10,2,0,2,false
128,46,9,1,1,2,false
133,71,35,2,0,2,false
132,90,77,2,0,2,false
135,43,21,2,0,2,false
134,51,39,1,1,2,false
129,98,91,2,0,2,false
138,78,16,1,1,2,false
139,75,74,1,1,2,false
140,99,42,1,1,2,false
141,60,3,1,1,2,false
136,78,37,1,1,2,false
143,96,58,2,0,2,false
137,69,60,0,2,2,false
81,91,47,1,1,2,false
142,47,42,2,0,2,false
146,42,11,0,1,1,false
148,47,10,1,0,1,false
147,96,30,1,0,1,false
150,62,41,0,1,1,false
149,39,0,0,1,1,false
151,47,32,1,0,1,false
144,61,59,0,1,1,false
145,98,76,1,0,1,false
155,69,33,1,0,1,false
154,41,37,1,0,1,false
156,92,21,1,0,1,false
157,59,44,1,0,1,false
158,24,15,0,1,1,false
159,23,17,0,1,1,false
160,81,46,0,1,1,false
162,14,10,1,0,1,false
163,88,62,0,1,1,false
164,78,15,1,0,1,false
165,20,3,1,0,1,false
166,90,79,1,0,1,false
167,85,44,0,1,1,false
152,68,42,1,0,1,false
168,77,20,0,1,1,false
169,74,1,1,0,1,false
171,70,31,0,1,1,false
172,93,8,0,1,1,false
170,66,22,1,0,1,false
173,71,57,1,0,1,false
161,90,46,1,0,1,false
153,98,9,1,0,1,false
177,50,2,0,1,1,false
176,85,7,0,1,1,false
178,33,25,1,0,1,false
179,94,28,1,0,1,false
180,57,52,1,0,1,false
181,59,33,1,0,1,false
182,64,16,1,0,1,false
184,99,47,0,1,1,false
185,72,28,0,1,1,false
186,42,7,0,1,1,false
187,90,44,0,1,1,false
188,88,61,1,0,1,false
189,79,15,1,0,1,false
174,78,30,0,1,1,false
175,55,36,0,1,1,false
183,63,41,1,0,1,false
190,65,35,1,0,1,false
193,31,23,1,0,1,false
194,28,14,1,0,1,false
195,49,10,0,1,1,false
196,63,22,0,1,1,false
197,42,13,1,0,1,false
198,42,8,1,0,1,false
191,77,11,0,1,1,false
201,82,12,0,1,1,false
200,55,9,0,1,1,false
202,95,71,1,0,1,false
203,76,59,0,1,1,false
204,44,14,0,1,1,false
206,96,76,1,0,1,false
205,78,5,0,1,1,false
208,98,90,1,0,1,false
209,52,20,0,1,1,false
210,41,7,0,1,1,false
211,91,69,0,1,1,false
199,49,7,0,1,1,false
212,76,53,0,1,1,false
213,93,74,1,0,1,false
207,60,37,1,0,1,false
192,54,40,1,0,1,false
215,44,2,0,1,1,false
217,27,13,1,0,1,false
218,40,39,1,0,1,false
220,94,89,0,1,1,false
219,56,34,1,0,1,false
221,31,24,0,1,1,false
222,71,18,1,0,1,false
216,16,4,1,0,1,false
225,38,6,0,1,1,false
224,41,26,0,1,1,false
226,96,6,1,0,1,false
227,47,35,0,1,1,false
228,77,15,0,1,1,false
229,96,44,1,0,1,false
214,60,59,0,1,1,false
232,72,6,1,0,1,false
231,86,9,0,1,1,false
233,52,32,1,0,1,false
234,73,43,0,1,1,false
230,33,2,0,1,1,false
223,59,1,1,0,1,false
235,65,7,0,1,1,false
236,98,71,0,1,1,false
237,98,50,1,0,1,false
238,76,70,0,1,1,false
239,33,24,1,0,1,false
240,77,62,0,1,1,false
241,94,10,1,0,1,false
242,99,25,0,1,1,false
243,77,74,0,1,1,false
244,65,58,0,1,1,false
245,82,56,1,0,1,false
247,88,56,1,0,1,false
248,12,3,0,1,1,false
249,80,1,0,1,1,false
250,79,33,1,0,1,false
251,75,4,0,1,1,false
252,20,10,1,0,1,false
254,82,7,0,1,1,false
246,61,51,0,1,1,false
256,45,10,1,0,1,false
255,58,32,1,0,1,false
257,71,16,0,1,1,false
258,92,8,0,1,1,false
259,88,76,1,0,1,false
253,75,13,0,1,1,false
262,64,39,1,0,1,false
261,35,8,0,1,1,false
263,50,49,0,1,1,false
264,63,30,0,1,1,false
265,93,28,1,0,1,false
266,31,17,1,0,1,false
267,76,33,0,1,1,false
269,67,58,1,0,1,false
270,91,11,1,0,1,false
271,95,43,1,0,1,false
272,61,19,0,1,1,false
273,72,70,0,1,1,false
274,13,12,1,0,1,false
260,43,26,1,0,1,false
268,64,9,1,0,1,false
278,86,56,1,0,1,false
277,71,1,1,0,1,false
279,88,30,0,1,1,false
280,75,57,1,0,1,false
281,35,30,0,1,1,false
282,73,66,0,1,1,false
275,96,67,0,1,1,false
283,62,5,0,1,1,false
276,62,8,0,1,1,false
287,72,57,1,0,1,false
288,59,21,1,0,1,false
289,38,22,0,1,1,false
290,61,1,1,0,1,false
285,91,28,1,0,1,false
291,83,70,1,0,1,false
292,85,12,0,1,1,false
284,80,16,1,0,1,false
286,41,10,0,1,1,false
294,98,83,1,0,1,false
296,92,26,0,1,1,false
297,51,15,1,0,1,false
298,44,35,0,1,1,false
299,25,10,1,0,1,false
300,97,24,1,0,1,false
301,52,24,0,1,1,false
295,3,1,1,0,1,false
304,39,25,1,0,1,false
303,83,67,0,1,1,false
305,98,20,1,0,1,false
306,77,21,1,0,1,false
307,88,83,1,0,1,false
308,76,51,0,1,1,false
309,24,21,1,0,1,false
310,72,53,1,0,1,false
312,52,0,0,1,1,false
313,82,44,0,1,1,false
314,45,12,1,0,1,false
315,70,15,1,0,1,false
316,32,2,1,0,1,false
317,64,2,1,0,1,false
293,30,23,1,0,1,false
311,87,8,1,0,1,false
302,64,36,0,1,1,false
320,58,8,1,0,1,false
321,34,2,0,1,1,false
322,67,21,1,0,1,false
323,94,3,0,1,1,false
324,56,14,0,1,1,false
325,49,30,0,1,1,false
318,98,69,1,0,1,false
319,57,49,0,1,1,false
328,80,45,0,1,1,false
329,90,11,0,1,1,false
330,82,52,1,0,1,false
331,68,5,1,0,1,false
332,19,4,1,0,1,false
333,99,23,1,0,1,false
335,28,23,1,0,1,false
336,83,74,0,1,1,false
337,64,8,0,1,1,false
338,89,76,0,1,1,false
339,61,2,0,1,1,false
340,90,14,0,1,1,false
326,56,32,1,0,1,false
342,90,47,0,1,1,false
343,62,18,0,1,1,false
341,84,21,1,0,1,false
344,36,27,1,0,1,false
345,65,28,1,0,1,false
346,89,58,0,1,1,false
347,46,5,1,0,1,false
334,77,2,0,1,1,false
350,93,3,0,1,1,false
349,6,3,0,1,1,false
351,90,30,1,0,1,false
352,96,47,0,1,1,false
353,91,70,0,1,1,false
354,28,5,1,0,1,false
355,72,56,1,0,1,false
327,65,34,1,0,1,false
358,90,7,1,0,1,false
359,67,63,0,1,1,false
360,76,75,1,0,1,false
361,88,75,1,0,1,false
362,65,55,0,1,1,false
363,52,26,0,1,1,false
364,88,77,1,0,1,false
348,97,89,0,1,1,false
365,75,27,0,1,1,false
366,65,1,0,1,1,false
367,40,6,1,0,1,false
368,95,21,1,0,1,false
369,72,26,1,0,1,false
357,35,11,1,0,1,false
356,59,18,0,1,1,false
373,98,18,1,0,1,false
372,80,76,1,0,1,false
374,68,31,1,0,1,false
375,99,39,0,1,1,false
376,51,40,1,0,1,false
377,92,12,1,0,1,false
378,91,65,0,1,1,false
380,49,34,0,1,1,false
381,92,77,1,0,1,false
382,50,9,0,1,1,false
383,94,82,0,1,1,false
384,59,40,0,1,1,false
370,52,39,0,1,1,false
385,64,13,0,1,1,false
371,96,86,0,1,1,false
379,92,51,0,1,1,false
389,77,34,0,1,1,false
388,94,90,1,0,1,false
390,21,7,0,1,1,false
391,65,38,1,0,1,false
392,78,67,1,0,1,false
394,46,10,0,1,1,false
393,85,73,1,0,1,false
386,83,3,1,0,1,false
397,19,8,0,1,1,false
396,24,7,0,1,1,false
398,80,19,1,0,1,false
399,79,76,1,0,1,false
400,73,5,0,1,1,false
401,99,69,0,1,1,false
402,84,51,0,1,1,false
404,11,7,0,1,1,false
405,76,48,0,1,1,false
406,72,21,1,0,1,false
407,77,6,0,1,1,false
408,84,28,1,0,1,false
395,55,24,0,1,1,false
409,78,71,1,0,1,false
403,67,12,1,0,1,false
387,42,36,1,0,1,false
410,26,15,0,1,1,false
414,68,8,1,0,1,false
413,45,35,1,0,1,false
415,99,29,1,0,1,false
416,51,0,1,0,1,false
418,98,77,1,0,1,false
417,68,36,1,0,1,false
419,30,3,0,1,1,false
421,89,78,0,1,1,false
420,83,73,0,1,1,false
422,36,4,1,0,1,false
423,92,55,1,0,1,false
424,55,40,0,1,1,false
425,73,38,1,0,1,false
426,97,58,0,1,1,false
428,79,22,0,1,1,false
429,97,68,0,1,1,false
430,79,38,1,0,1,false
431,40,28,1,0,1,false
432,86,17,1,0,1,false
433,67,32,1,0,1,false
412,97,84,0,1,1,false
411,45,6,1,0,1,false
427,50,33,0,1,1,false
434,78,43,1,0,1,false
437,52,15,0,1,1,false
438,28,10,1,0,1,false
439,34,23,1,0,1,false
440,81,56,0,1,1,false
441,95,36,0,1,1,false
442,31,26,0,1,1,false
435,62,46,1,0,1,false
436,59,17,1,0,1,false
445,45,28,1,0,1,false
444,85,65,0,1,1,false
446,51,17,1,0,1,false
447,70,51,1,0,1,false
448,79,34,1,0,1,false
449,42,39,0,1,1,false
450,72,37,1,0,1,false
443,8,4,0,1,1,false
453,56,18,1,0,1,false
451,99,32,0,1,1,false
452,32,30,1,0,1,false
454,81,62,0,1,1,false
455,90,12,1,0,1,false
456,32,26,0,1,1,false
457,73,24,0,1,1,false
458,13,7,0,1,1,false
462,39,19,0,1,1,false
463,21,9,0,1,1,false
464,75,44,0,1,1,false
465,83,16,1,0,1,false
461,7,3,1,0,1,false
460,39,14,0,1,1,false
466,97,0,0,1,1,false
467,75,33,1,0,1,false
459,82,43,0,1,1,false
469,61,41,1,0,1,false
470,65,45,0,1,1,false
471,69,37,1,0,1,false
472,76,10,0,1,1,false
474,94,48,0,1,1,false
476,79,12,1,0,1,false
473,92,20,1,0,1,false
475,32,17,1,0,1,false
478,19,1,1,0,1,false
479,85,25,0,1,1,false
477,38,16,0,1,1,false
468,25,5,1,0,1,false
480,17,1,0,1,1,false
481,87,79,0,1,1,false
483,65,13,0,1,1,false
484,98,23,1,0,1,false
482,28,18,1,0,1,false
485,58,12,0,1,1,false
488,94,51,0,1,1,false
489,93,37,1,0,1,false
490,66,52,1,0,1,false
492,48,6,1,0,1,false
493,88,20,0,1,1,false
491,70,59,0,1,1,false
486,85,2,0,1,1,false
487,76,0,0,1,1,false
496,72,39,0,1,1,false
497,84,37,1,0,1,false
498,79,49,0,1,1,false
499,59,34,1,0,1,false
500,41,21,1,0,1,false
501,99,48,0,1,1,false
494,52,51,0,1,1,false
495,55,48,1,0,1,false
505,19,0,0,1,1,false
504,64,55,1,0,1,false
506,64,61,1,0,1,false
507,51,27,1,0,1,false
508,72,22,0,1,1,false
509,49,16,1,0,1,false
510,74,4,1,0,1,false
512,62,57,0,1,1,false
513,73,16,0,1,1,false
514,65,6,0,1,1,false
515,28,17,1,0,1,false
516,76,14,0,1,1,false
517,93,6,0,1,1,false
518,51,1,0,1,1,false
519,42,6,1,0,1,false
520,79,32,0,1,1,false
502,34,27,0,1,1,false
521,78,31,0,1,1,false
522,93,52,1,0,1,false
523,21,12,0,1,1,false
503,45,25,0,1,1,false
511,9,1,1,0,1,false
525,31,30,0,1,1,false
527,20,11,1,0,1,false
528,82,19,1,0,1,false
529,30,14,0,1,1,false
530,99,93,0,1,1,false
531,71,55,1,0,1,false
532,43,12,1,0,1,false
526,94,73,1,0,1,false
535,85,31,0,1,1,false
536,58,53,0,1,1,false
524,78,6,1,0,1,false
537,80,11,1,0,1,false
538,56,17,1,0,1,false
539,31,22,1,0,1,false
540,99,24,0,1,1,false
534,99,60,0,1,1,false
533,48,7,0,1,1,false
542,36,17,1,0,1,false
544,64,31,1,0,1,false
546,43,33,1,0,1,false
545,61,11,1,0,1,false
547,62,49,0,1,1,false
548,75,69,0,1,1,false
549,85,18,1,0,1,false
543,71,20,1,0,1,false
552,95,25,0,1,1,false
551,47,39,0,1,1,false
553,55,42,1,0,1,false
554,92,5,1,0,1,false
555,57,16,0,1,1,false
556,27,0,0,1,1,false
557,76,20,0,1,1,false
541,77,37,1,0,1,false
560,60,2,1,0,1,false
561,96,52,1,0,1,false
562,87,63,0,1,1,false
563,29,1,1,0,1,false
564,72,44,0,1,1,false
565,95,52,1,0,1,false
550,96,71,0,1,1,false
566,76,50,1,0,1,false
567,47,14,1,0,1,false
568,93,35,0,1,1,false
570,4,0,0,1,1,false
569,55,26,0,1,1,false
571,93,39,1,0,1,false
573,54,48,1,0,1,false
574,26,9,0,1,1,false
572,66,62,1,0,1,false
575,57,53,0,1,1,false
577,96,70,0,1,1,false
576,73,4,1,0,1,false
578,91,1,1,0,1,false
579,84,43,1,0,1,false
581,83,32,0,1,1,false
580,74,59,1,0,1,false
582,93,51,0,1,1,false
583,53,14,0,1,1,false
558,68,1,1,0,1,false
559,93,54,0,1,1,false
584,76,18,0,1,1,false
585,99,67,0,1,1,false
586,97,36,0,1,1,false
587,74,26,1,0,1,false
588,89,7,1,0,1,false
589,90,86,1,0,1,false
590,84,35,1,0,1,false
591,27,16,0,1,1,false
592,88,3,0,1,1,false
593,82,48,1,0,1,false
594,73,59,1,0,1,false
595,80,41,0,1,1,false
599,71,19,1,0,1,false
598,13,10,1,0,1,false
600,57,51,1,0,1,false
601,82,75,1,0,1,false
602,87,86,0,1,1,false
603,23,16,0,1,1,false
604,76,17,0,1,1,false
596,37,14,1,0,1,false
597,39,9,1,0,1,false
608,64,12,1,0,1,false
607,82,64,0,1,1,false
609,93,44,1,0,1,false
610,74,67,1,0,1,false
611,85,8,1,0,1,false
612,42,1,0,1,1,false
613,46,12,1,0,1,false
615,6,0,0,1,1,false
616,82,39,1,0,1,false
617,28,20,0,1,1,false
618,41,24,1,0,1,false
619,41,0,1,0,1,false
620,60,44,1,0,1,false
605,10,9,0,1,1,false
606,86,16,0,1,1,false
614,64,22,1,0,1,false
622,40,38,0,1,1,false
625,71,38,0,1,1,false
624,92,57,0,1,1,false
626,63,49,1,0,1,false
627,73,63,0,1,1,false
628,50,28,0,1,1,false
629,65,59,0,1,1,false
623,79,48,0,1,1,false
631,93,57,0,1,1,false
632,66,19,0,1,1,false
633,12,8,0,1,1,false
634,32,27,1,0,1,false
635,41,35,0,1,1,false
636,88,52,1,0,1,false
621,44,18,1,0,1,false
639,34,5,0,1,1,false
638,88,60,1,0,1,false
640,94,44,1,0,1,false
641,56,39,1,0,1,false
637,61,23,1,0,1,false
642,72,3,0,1,1,false
643,32,1,1,0,1,false
644,85,24,1,0,1,false
645,73,57,1,0,1,false
646,51,29,1,0,1,false
647,69,59,0,1,1,false
648,48,27,1,0,1,false
649,34,18,1,0,1,false
650,52,42,0,1,1,false
651,64,59,1,0,1,false
630,43,38,0,1,1,false
652,40,25,0,1,1,false
656,56,10,0,1,1,false
654,27,4,1,0,1,false
657,83,21,1,0,1,false
658,42,28,1,0,1,false
659,58,41,1,0,1,false
661,30,29,1,0,1,false
660,88,67,1,0,1,false
653,96,24,1,0,1,false
664,73,15,1,0,1,false
663,97,31,0,1,1,false
665,64,57,1,0,1,false
666,84,10,1,0,1,false
667,35,2,0,1,1,false
669,35,9,1,0,1,false
668,92,48,0,1,1,false
655,90,73,0,1,1,false
672,50,31,0,1,1,false
671,17,2,0,1,1,false
673,50,12,0,1,1,false
670,95,17,1,0,1,false
674,79,24,0,1,1,false
675,15,11,1,0,1,false
676,96,28,1,0,1,false
677,51,26,0,1,1,false
678,84,26,1,0,1,false
680,70,25,1,0,1,false
681,55,20,0,1,1,false
682,87,7,0,1,1,false
683,99,1,0,1,1,false
679,42,25,1,0,1,false
684,69,52,1,0,1,false
685,44,39,1,0,1,false
688,99,4,0,1,1,false
689,96,46,1,0,1,false
690,57,35,0,1,1,false
691,98,2,1,0,1,false
692,48,11,1,0,1,false
693,25,14,0,1,1,false
694,45,42,0,1,1,false
695,60,34,1,0,1,false
686,94,17,1,0,1,false
696,79,0,1,0,1,false
697,68,11,1,0,1,false
698,97,8,1,0,1,false
687,73,8,1,0,1,false
699,48,33,0,1,1,false
702,96,80,1,0,1,false
703,93,24,1,0,1,false
704,70,7,1,0,1,false
705,36,25,1,0,1,false
706,58,7,1,0,1,false
707,53,24,1,0,1,false
708,65,37,1,0,1,false
709,84,48,0,1,1,false
710,91,34,1,0,1,false
711,92,11,0,1,1,false
712,78,13,1,0,1,false
713,44,33,1,0,1,false
714,56,9,1,0,1,false
715,87,71,1,0,1,false
700,88,24,1,0,1,false
701,77,70,0,1,1,false
716,89,25,0,1,1,false
717,94,80,0,1,1,false
718,80,28,0,1,1,false
719,50,24,0,1,1,false
722,73,70,0,1,1,false
723,81,80,0,1,1,false
721,83,14,0,1,1,false
720,88,16,1,0,1,false
724,63,54,0,1,1,false
725,52,13,0,1,1,false
728,71,3,0,1,1,false
729,99,2,0,1,1,false
727,85,38,1,0,1,false
730,63,12,0,1,1,false
732,69,8,0,1,1,false
731,92,76,0,1,1,false
726,86,41,1,0,1,false
734,85,16,1,0,1,false
736,44,10,0,1,1,false
735,41,3,0,1,1,false
737,45,9,0,1,1,false
739,78,64,0,1,1,false
738,36,29,0,1,1,false
733,26,0,1,0,1,false
740,51,44,1,0,1,false
742,70,57,1,0,1,false
743,71,7,0,1,1,false
744,83,71,0,1,1,false
745,26,16,1,0,1,false
746,50,17,1,0,1,false
747,38,27,0,1,1,false
741,96,20,1,0,1,false
750,42,32,1,0,1,false
749,99,77,1,0,1,false
751,89,16,0,1,1,false
753,81,27,0,1,1,false
752,36,7,0,1,1,false
754,85,52,0,1,1,false
755,98,53,0,1,1,false
756,84,57,1,0,1,false
758,84,58,1,0,1,false
757,58,35,0,1,1,false
760,26,17,1,0,1,false
759,74,21,1,0,1,false
761,86,39,1,0,1,false
762,26,11,1,0,1,false
763,83,22,0,1,1,false
765,58,44,0,1,1,false
764,55,22,0,1,1,false
766,77,55,0,1,1,false
767,91,53,0,1,1,false
768,78,14,0,1,1,false
769,40,20,0,1,1,false
770,46,44,1,0,1,false
748,50,13,0,1,1,false
773,75,8,0,1,1,false
772,99,75,0,1,1,false
774,98,70,0,1,1,false
775,48,8,0,1,1,false
776,52,4,0,1,1,false
777,96,55,1,0,1,false
778,35,13,0,1,1,false
771,90,6,0,1,1,false
662,47,45,1,0,1,false
781,51,46,1,0,1,false
782,47,0,1,0,1,false
783,87,55,1,0,1,false
785,75,10,0,1,1,false
784,55,6,0,1,1,false
786,97,54,0,1,1,false
779,53,11,1,0,1,false
780,84,30,0,1,1,false
788,97,4,1,0,1,false
790,65,30,0,1,1,false
789,12,6,0,1,1,false
791,65,8,0,1,1,false
792,92,80,0,1,1,false
787,53,48,1,0,1,false
793,95,84,1,0,1,false
797,83,37,1,0,1,false
798,68,19,0,1,1,false
795,67,1,0,1,1,false
799,92,13,0,1,1,false
800,72,45,1,0,1,false
801,67,50,0,1,1,false
802,71,12,1,0,1,false
794,87,15,1,0,1,false
796,36,8,0,1,1,false
803,94,47,1,0,1,false
804,59,36,1,0,1,false
805,20,0,1,0,1,false
807,63,17,1,0,1,false
808,18,5,0,1,1,false
809,43,19,0,1,1,false
810,70,56,1,0,1,false
812,37,27,1,0,1,false
806,32,5,0,1,1,false
811,86,28,1,0,1,false
816,87,77,1,0,1,false
817,38,2,0,1,1,false
818,70,10,1,0,1,false
819,81,42,0,1,1,false
820,95,7,1,0,1,false
821,51,30,0,1,1,false
822,43,29,0,1,1,false
814,95,14,0,1,1,false
823,94,39,0,1,1,false
824,72,4,1,0,1,false
825,35,18,1,0,1,false
826,62,42,0,1,1,false
815,99,98,0,1,1,false
813,86,63,1,0,1,false
829,96,77,1,0,1,false
828,89,77,1,0,1,false
830,87,39,1,0,1,false
831,57,47,0,1,1,false
833,75,63,0,1,1,false
832,55,25,1,0,1,false
827,97,44,0,1,1,false
834,67,51,0,1,1,false
835,65,24,1,0,1,false
836,95,68,1,0,1,false
837,89,47,0,1,1,false
838,87,13,1,0,1,false
839,93,27,1,0,1,false
840,31,20,0,1,1,false
841,54,31,1,0,1,false
842,85,27,1,0,1,false
843,83,45,1,0,1,false
844,49,39,0,1,1,false
845,85,36,1,0,1,false
846,33,18,1,0,1,false
847,90,5,0,1,1,false
848,97,16,0,1,1,false
849,72,47,0,1,1,false
851,57,20,0,1,1,false
853,94,0,1,0,1,false
852,29,15,1,0,1,false
854,70,4,1,0,1,false
855,79,58,1,0,1,false
856,74,53,1,0,1,false
858,98,58,1,0,1,false
859,52,3,0,1,1,false
857,30,26,1,0,1,false
860,59,43,0,1,1,false
861,93,68,0,1,1,false
862,17,4,0,1,1,false
863,56,54,0,1,1,false
864,84,60,1,0,1,false
850,68,39,1,0,1,false
867,62,53,0,1,1,false
868,93,61,0,1,1,false
869,58,37,1,0,1,false
870,57,33,1,0,1,false
871,96,94,0,1,1,false
872,61,28,0,1,1,false
865,60,50,1,0,1,false
875,89,0,0,1,1,false
874,41,12,1,0,1,false
876,82,25,0,1,1,false
873,96,22,0,1,1,false
878,34,26,1,0,1,false
879,87,47,1,0,1,false
877,99,31,0,1,1,false
880,98,15,1,0,1,false
866,31,3,0,1,1,false
883,84,4,1,0,1,false
884,61,25,0,1,1,false
885,77,63,0,1,1,false
886,49,5,1,0,1,false
887,82,63,0,1,1,false
888,88,18,1,0,1,false
881,79,29,0,1,1,false
882,74,49,1,0,1,false
889,40,14,0,1,1,false
890,10,1,1,0,1,false
891,74,16,1,0,1,false
894,28,19,0,1,1,false
893,92,42,0,1,1,false
895,66,18,1,0,1,false
896,55,31,0,1,1,false
897,91,4,0,1,1,false
898,62,31,0,1,1,false
899,51,47,1,0,1,false
892,64,54,0,1,1,false
903,89,68,0,1,1,false
904,88,79,1,0,1,false
905,99,58,0,1,1,false
901,96,61,0,1,1,false
906,87,61,1,0,1,false
907,97,22,0,1,1,false
908,55,21,1,0,1,false
902,90,16,0,1,1,false
911,53,26,1,0,1,false
909,82,9,1,0,1,false
913,63,20,1,0,1,false
900,76,12,0,1,1,false
912,92,22,0,1,1,false
914,66,11,1,0,1,false
916,25,11,1,0,1,false
915,95,4,1,0,1,false
910,83,75,1,0,1,false
917,49,25,0,1,1,false
921,71,14,0,1,1,false
920,69,17,1,0,1,false
922,98,97,1,0,1,false
923,65,44,1,0,1,false
924,77,68,0,1,1,false
925,82,5,0,1,1,false
926,73,25,0,1,1,false
918,81,67,0,1,1,false
919,45,44,1,0,1,false
927,69,56,1,0,1,false
931,93,77,1,0,1,false
930,76,62,0,1,1,false
928,96,43,0,1,1,false
932,97,46,0,1,1,false
933,62,58,0,1,1,false
934,81,24,0,1,1,false
935,86,49,1,0,1,false
936,73,44,1,0,1,false
929,42,29,0,1,1,false
937,62,22,0,1,1,false
941,99,97,1,0,1,false
940,95,59,0,1,1,false
942,16,3,1,0,1,false
943,30,7,0,1,1,false
944,59,46,1,0,1,false
945,60,29,0,1,1,false
946,29,8,1,0,1,false
938,46,24,0,1,1,false
939,26,1,1,0,1,false
950,17,14,0,1,1,false
947,77,65,0,1,1,false
949,64,20,1,0,1,false
951,69,64,1,0,1,false
952,33,20,1,0,1,false
953,37,13,0,1,1,false
954,98,33,1,0,1,false
955,76,36,0,1,1,false
948,87,80,1,0,1,false
959,80,43,0,1,1,false
960,99,8,0,1,1,false
961,48,23,1,0,1,false
962,89,15,1,0,1,false
958,83,18,1,0,1,false
963,66,5,1,0,1,false
964,33,0,0,1,1,false
956,44,22,0,1,1,false
965,93,53,0,1,1,false
966,70,37,1,0,1,false
968,89,64,1,0,1,false
967,4,1,1,0,1,false
969,70,52,1,0,1,false
970,5,2,0,1,1,false
971,35,29,0,1,1,false
972,95,65,1,0,1,false
973,95,15,1,0,1,false
974,51,23,1,0,1,false
957,65,50,1,0,1,false
977,99,21,1,0,1,false
978,15,1,1,0,1,false
979,23,22,0,1,1,false
981,73,58,0,1,1,false
975,81,75,1,0,1,false
980,57,11,0,1,1,false
982,87,42,0,1,1,false
976,47,23,0,1,1,false
983,77,48,0,1,1,false
987,88,73,0,1,1,false
986,41,25,0,1,1,false
984,88,82,1,0,1,false
988,73,33,0,1,1,false
989,81,63,1,0,1,false
991,74,41,1,0,1,false
992,41,31,0,1,1,false
990,85,32,0,1,1,false
985,78,54,0,1,1,false
996,50,47,0,1,1,false
995,96,23,1,0,1,false
997,66,24,1,0,1,false
998,86,59,0,1,1,false
